seriesID,title,descrip,thumbnail,thumbnail_extension
10369,"New Mutants Vol. 4 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10371,"Iron Man 2.0 Vol. 1 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10373,"IRON MAN 2.0 VOL. 2: ASYMMETRY TPB (2012)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10384,"Oz: Ozma of Oz (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10386,"Oz: The Marvelous Land of Oz GN-TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10387,"Oz: The Wonderful Wizard of Oz (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4bed6732c1ce2,"jpg"
10388,"Peter Parker (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/4c484924ba88c,"jpg"
10394,"Punisher Noir (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/4/f0/4c0feeb3abfe4,"jpg"
10397,"Punisher: Last Gun on Earth (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10398,"Punisher: Nightmare (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10399,"Punishermax: Bullseye (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4c911cfc123ee,"jpg"
104,"Captain America: To Serve and Protect (1999)",,http://i.annihil.us/u/prod/marvel/i/mg/f/50/4bc66a5a9ea8a,"jpg"
10400,"Punishermax (Issues 7-12) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10405,"Runaways Vol. 11: Homeschooling (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/f/30/4beaf9e51c24c,"jpg"
10409,"Secret Avengers: Mission To Mars (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4cb606bc5a07d,"jpg"
10410,"Secret Avengers Vol. 1: Mission To Mars (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10411,"Secret Avengers Vol. 2 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10412,"Secret Avengers Vol. 2 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10414,"Secret Warriors Vol. 4 (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4c473c42c2f99,"jpg"
10415,"Secret Warriors Vol. 4: Last Ride of the Howling Commandos (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10416,"Secret Warriors Vol. 5 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10417,"Secret Warriors Vol. 5 (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10419,"Sense & Sensibility (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/9/40/4c473df444ae2,"jpg"
10421,"Shadowland (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10422,"SHADOWLAND TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10435,"Spider-Man/Fantastic Four (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4cb611803539a,"jpg"
10436,"Spider-Man/Fantastic Four TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10437,"Spider-Man: The Gauntlet Vol.3 - Vulture and Morbius (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/6/80/4baa83618947a,"jpg"
10438,"Spider-Man: The Gauntlet Vol. 4 - Juggernaut (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/9/90/4cb5ff76f0704,"jpg"
10439,"SPIDER-MAN: THE GAUNTLET VOL. 5 - LIZARD  (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10441,"Spider-Man: Grim Hunt (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10443,"Spider-Man: One Moment in Time (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10444,"Spider-Man: Origin of the Species (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/a/30/4c978ba42f77f,"jpg"
10445,"Spider-Man: Origin Of The Species TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10446,"Spider-Man: (647-650) (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10447,"SPIDER-MAN: BIG TIME TPB (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1045,"I (Heart) Marvel (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/5a902cb93e88d,"jpg"
10453,"Spider-Man: The Real Clone Saga (2010)",,http://i.annihil.us/u/prod/marvel/i/mg/6/90/4c90f43065eb9,"jpg"
10456,"Spider-Woman Vol. 1: Agent of S.W.O.R.D.  (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10459,"Stephen King's N. the Comic Series (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1046,"Avengers and Power Pack Assemble! (2006)",,http://i.annihil.us/u/prod/marvel/i/mg/c/90/5a85ed6c810fd,"jpg"
10460,"Steve Rogers: Super-Soldier (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/9/90/4cb6086ede571,"jpg"
10461,"Steve Rogers: Super-Soldier (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10463,"Strange Tales II (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10464,"Strange Tales Vol. 2 (2013)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10469,"The Marvel Art of Mike Deodato (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10470,"The Marvels Project (2011)",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
