id,title,issn,descrip,thumbnail,thumbnail_extension
10192,"Marvel Mangaverse: Eternity Twilight (2002) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/1/e0/4bc473eccde1a,"jpg"
10193,"Marvel Mangaverse: New Dawn (2002) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/4/10/4bc473e787482,"jpg"
10194,"Marvel Mangaverse: Punisher (2002) #1",1,,http://i.annihil.us/u/prod/marvel/i/mg/3/f0/4bc473e263986,"jpg"
10197,"Marvel Premiere (1972) #11",11,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10200,"Marvel Premiere (1972) #14",14,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10213,"Marvel Premiere (1972) #26",26,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10215,"Marvel Premiere (1972) #28",28,,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4c3641a11fb89,"jpg"
10218,"Marvel Premiere (1972) #30",30,,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c364185bc0be,"jpg"
10219,"Marvel Premiere (1972) #31",31,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10220,"Marvel Premiere (1972) #32",32,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10224,"Marvel Premiere (1972) #36",36,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10225,"Marvel Premiere (1972) #37",37,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10227,"Marvel Premiere (1972) #39",39,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10228,"Marvel Premiere (1972) #4",4,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10229,"Marvel Premiere (1972) #40",40,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10230,"Marvel Premiere (1972) #41",41,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10233,"Marvel Premiere (1972) #44",44,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10235,"Marvel Premiere (1972) #46",46,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10238,"Marvel Premiere (1972) #49",49,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10239,"Marvel Premiere (1972) #5",5,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10240,"Marvel Premiere (1972) #50",50,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10245,"Marvel Premiere (1972) #55",55,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10247,"Marvel Premiere (1972) #57",57,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10248,"Marvel Premiere (1972) #58",58,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10249,"Marvel Premiere (1972) #59",59,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10250,"Marvel Premiere (1972) #6",6,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10251,"Marvel Premiere (1972) #60",60,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10253,"Marvel Premiere (1972) #7",7,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10258,"Marvel Spotlight (1979) #11",11,,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/4c363c7796a71,"jpg"
